equipment_id,item_name,purchase_date,purchase_price,last_used_date,status
E001,高圧洗浄機（業務用）,2023-05-15,120000,2026-04-10,active
E002,草刈り機（エンジン式）,2024-06-01,45000,2025-09-20,active
E003,高所作業用ハシゴ（8m）,2022-01-10,38000,2024-03-15,active
E004,養生シート（20枚セット）,2025-08-20,15000,2026-04-25,active
E005,床用ポリッシャー,2023-11-30,85000,2024-01-10,active
E006,害虫駆除用噴霧器,2025-03-15,28000,2025-10-05,active
E007,家具移動用ジャッキ,2021-05-20,12000,2021-12-15,broken
E008,エアコン洗浄ポンプ,2024-04-05,52000,2026-04-20,active
E009,インパクトドライバーセット,2025-12-01,35000,2026-04-28,active
E010,特殊枝切りバサミ,2022-09-10,18000,2023-05-01,active
